"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"sub83","X4","~","X3",0.383583374308191,0.388259469303364,0.0457518485326045,8.48620289137992,0,"group"
"sub83","X5","~","X4lag",0.159516869434798,0.161341436937853,0.056881995535023,2.83642364196793,0.00456218860652569,"group"
"sub83","X2","~","X1",0.231193093921602,0.231268370680263,0.0527326787088379,4.38567462042285,1.15626855445861e-05,"group"
"sub83","X6","~","X5",0.362381390677775,0.36097778888029,0.0472899085775174,7.63329428494404,2.28705943072782e-14,"group"
"sub83","X8","~","X7lag",0.281548628183563,0.282045724409204,0.0575743360017689,4.8988098516766,9.64188962671031e-07,"group"
"sub83","X5","~","X4",0.327356447987094,0.326058841630916,0.0483403090336144,6.74507151793723,1.52950985210509e-11,"group"
"sub83","X7","~","X6lag",0.352235456484714,0.353114360142262,0.0503323523698794,7.01565381938274,2.28883578756722e-12,"group"
"sub83","X3","~","X2lag",0.210333029867775,0.210920875090763,0.0554861813393244,3.80132259960154,0.000143925767688957,"group"
"sub83","X4","~","X3lag",0.35398041890721,0.359633358991934,0.051180086368786,7.02682204169295,2.1129764604666e-12,"group"
"sub83","X6","~","X4lag",0.275614965362175,0.277687730422174,0.0486812097172647,5.70420768166927,1.16885494616525e-08,"ind"
"sub83","X5","~","X3lag",0.249567388012749,0.252547832663709,0.0530578385981999,4.75985903941963,1.93728212583011e-06,"ind"
"sub84","X1","~","X1lag",0.251823097386539,0.250582272988605,0.0542001725375858,4.62327445202938,3.7772942089731e-06,"group"
"sub84","X2","~","X2lag",0.0768942699223724,0.0767787642526501,0.0552881480702108,1.38870204433594,0.16492337229809,"group"
"sub84","X3","~","X3lag",0.157508279635841,0.157182270913003,0.0512517415230697,3.06686692475126,0.00216315136470979,"group"
"sub84","X4","~","X4lag",0.141664347476939,0.141122523534385,0.0530754356115092,2.65890466858049,0.00783951418545947,"group"
"sub84","X5","~","X5lag",0.178633576639346,0.17955502329102,0.0505608173858544,3.55126820677655,0.000383379519383498,"group"
"sub84","X6","~","X6lag",0.295359110945567,0.300272333730625,0.0511037727979566,5.87573709905487,4.20965973191301e-09,"group"
"sub84","X7","~","X7lag",0.33615381965857,0.338514184479086,0.0485571957733199,6.97145251260752,3.13682413377592e-12,"group"
"sub84","X8","~","X8lag",0.158943568461296,0.159211766653781,0.050657204186008,3.14292447070651,0.00167268994798775,"group"
"sub84","X8","~","X7",0.393146470555821,0.389990443018138,0.0448300086158538,8.69931670903628,0,"group"
"sub84","X7","~","X6",0.355782564412563,0.35331261208336,0.0455590395640086,7.7550496117674,8.88178419700125e-15,"group"
"sub84","X3","~","X2",0.225911275602946,0.22563702919665,0.0506375078868724,4.45592681418562,8.35315271019432e-06,"group"
"sub84","X4","~","X3",0.273554265281482,0.273236868429031,0.050704717200065,5.38878596543441,7.09352232508564e-08,"group"
"sub84","X5","~","X4lag",0.358207345802946,0.359920493173474,0.0491212704008999,7.32718209924148,2.35145236615608e-13,"group"
